epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14641,2.09239,5.913,2.04713,0.55387,0.13333,0.17616,0.13794,1.19119,4.75458,1.62987,9.09e-06,9.09e-06,9.09e-06
2,2.54932,2.23526,5.98482,2.2254,0.55007,0.13333,0.19363,0.14915,1.16679,4.75039,1.61641,2.7e-05,2.7e-05,2.7e-05
3,2.99208,1.04882,24.0105,0.99117,0.58416,0.13333,0.17972,0.1406,1.19116,4.78188,1.63283,4.45501e-05,4.45501e-05,4.45501e-05
4,3.43753,2.36316,8.22101,2.52902,0.29911,0.19048,0.20787,0.15152,1.26834,4.3526,1.73829,6.17402e-05,6.17402e-05,6.17402e-05
5,4.18901,1.89304,4.19742,1.85219,0.22068,0.30476,0.11317,0.09607,1.35508,6.04592,1.77664,7.85703e-05,7.85703e-05,7.85703e-05
6,4.76833,1.97269,3.6498,1.98847,0.2754,0.12857,0.06367,0.04089,1.24273,12.408,1.67643,9.50405e-05,9.50405e-05,9.50405e-05
7,5.36816,2.06295,4.23177,1.85787,0.08558,0.12857,0.06833,0.04456,1.20739,13.7886,1.61187,0.000111151,0.000111151,0.000111151
8,5.9492,1.07677,2.45693,1.29685,0.22011,0.15714,0.09117,0.06484,1.27675,10.4061,1.64098,0.000126901,0.000126901,0.000126901
9,6.52092,2.00781,7.44539,2.05094,0.53209,0.18103,0.18097,0.10013,1.28458,6.48803,1.64888,0.000142291,0.000142291,0.000142291
10,7.1356,1.49166,3.07824,1.75476,0.14256,0.26065,0.22183,0.12631,1.22444,4.43964,1.63391,0.000157322,0.000157322,0.000157322
11,7.71622,2.06492,4.82187,1.96771,0.14063,0.31429,0.31892,0.19209,1.39034,4.15763,1.72642,0.000171992,0.000171992,0.000171992
12,8.38595,1.39986,2.51052,1.49252,0.23464,0.74286,0.41061,0.22622,1.40892,4.15178,1.74586,0.000186302,0.000186302,0.000186302
13,9.0767,1.41111,2.93322,1.79058,0.2461,0.77619,0.36261,0.2046,1.61946,4.28454,1.93836,0.000200253,0.000200253,0.000200253
14,9.67439,1.49735,2.58622,1.61522,0.1423,0.68571,0.382,0.19759,1.79019,4.49528,2.04535,0.000213843,0.000213843,0.000213843
15,10.2754,1.56857,2.1753,1.50227,0.24702,0.75238,0.45023,0.25985,1.89609,4.433,2.07865,0.000227074,0.000227074,0.000227074
16,11.0081,1.43315,2.14623,1.52528,0.43531,0.2959,0.21958,0.11452,1.68198,4.22589,1.93592,0.000239944,0.000239944,0.000239944
17,11.6222,1.47809,2.19701,1.62275,0.17529,0.25714,0.16578,0.08333,1.72404,4.36468,2.01737,0.000252455,0.000252455,0.000252455
18,12.2584,1.49308,2.40226,1.46444,0.36582,0.28571,0.21195,0.10511,1.74503,3.92449,2.04284,0.000264605,0.000264605,0.000264605
19,12.8737,1.77468,2.30383,1.87115,0.78718,0.28502,0.27323,0.13438,1.57868,3.57485,2.02446,0.000276396,0.000276396,0.000276396
20,13.4647,1.66496,2.38946,1.93499,0.41911,0.25713,0.26962,0.11092,1.46898,3.74416,1.89342,0.000287827,0.000287827,0.000287827
