epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3462,2.26009,12.0726,2.27129,0.51717,0.16162,0.19435,0.1153,1.74861,6.9062,1.89888,6e-05,6e-05,6e-05
2,17.9179,2.1654,6.1767,2.28502,0.73519,0.4538,0.41697,0.20803,1.81595,20.3032,1.85001,0.000128713,0.000128713,0.000128713
3,24.3671,1.86444,3.15935,1.97887,0.55105,0.39899,0.19026,0.07629,2.12803,38.1497,2.06774,0.00019604,0.00019604,0.00019604
4,30.802,1.76041,2.21371,1.91607,0.61117,0.59319,0.57571,0.18918,2.24489,4.11701,2.3581,0.000261981,0.000261981,0.000261981
5,36.9232,1.74719,1.77135,1.84384,0.52717,0.55837,0.53267,0.23546,2.04501,3.41785,2.02865,0.000326536,0.000326536,0.000326536
6,43.124,1.59253,1.77473,1.59111,0.73872,0.56446,0.5646,0.21948,2.12967,3.31764,2.20713,0.000389705,0.000389705,0.000389705
7,49.378,1.69519,1.50512,1.72363,0.75509,0.57289,0.60638,0.25635,1.96106,3.23991,2.15453,0.000451488,0.000451488,0.000451488
8,55.6112,1.68937,1.61587,1.70302,0.62648,0.51547,0.5377,0.21531,2.0092,2.08861,2.08445,0.000511885,0.000511885,0.000511885
9,61.5506,1.5297,1.44609,1.6997,0.66287,0.65998,0.62257,0.24492,2.10614,2.59949,2.36432,0.000570896,0.000570896,0.000570896
10,67.7076,1.493,1.43466,1.60928,0.53544,0.45245,0.4282,0.18297,2.12508,3.27037,2.13291,0.000628521,0.000628521,0.000628521
11,73.7694,1.53912,1.278,1.6232,0.61248,0.35093,0.4355,0.18788,2.12137,2.91876,2.15816,0.00068476,0.00068476,0.00068476
12,79.8082,1.6083,1.22901,1.68618,0.70214,0.3758,0.50664,0.1833,2.24742,3.44635,2.55985,0.000739613,0.000739613,0.000739613
13,86.102,1.53275,1.4113,1.65933,0.58388,0.59508,0.58057,0.23624,2.05141,3.31312,2.25218,0.00079308,0.00079308,0.00079308
14,92.137,1.52082,1.13948,1.59366,0.64253,0.62153,0.6019,0.25102,2.10076,2.30982,2.30474,0.000845161,0.000845161,0.000845161
15,98.3146,1.51523,1.26566,1.68551,0.5427,0.55019,0.46723,0.17889,2.39033,2.58786,2.68716,0.0008614,0.0008614,0.0008614
16,104.491,1.44825,1.46441,1.60528,0.66796,0.52623,0.51415,0.2121,2.22308,2.34,2.41201,0.0008515,0.0008515,0.0008515
17,110.561,1.53961,1.14766,1.58738,0.68854,0.54357,0.61327,0.26174,2.02216,2.09815,2.11263,0.0008416,0.0008416,0.0008416
18,116.847,1.53878,1.10074,1.55421,0.69579,0.61465,0.64466,0.2804,2.01168,1.93922,2.02524,0.0008317,0.0008317,0.0008317
19,123.108,1.50489,1.09123,1.53779,0.66137,0.63999,0.63722,0.28049,1.97579,1.85653,2.04991,0.0008218,0.0008218,0.0008218
20,129.3,1.50216,1.11462,1.60796,0.70453,0.69786,0.72153,0.29954,1.9685,1.46505,1.97751,0.0008119,0.0008119,0.0008119
21,135.504,1.54381,1.11725,1.57622,0.82609,0.64498,0.70335,0.31093,1.93815,1.75463,1.93928,0.000802,0.000802,0.000802
22,141.926,1.52166,1.11413,1.68234,0.58334,0.70569,0.61045,0.25329,2.09797,1.69383,2.20556,0.0007921,0.0007921,0.0007921
23,148.088,1.49426,1.29447,1.64848,0.68411,0.5936,0.62203,0.27426,1.99895,1.74034,2.03833,0.0007822,0.0007822,0.0007822
24,154.25,1.40071,1.14147,1.59268,0.76564,0.61146,0.61589,0.29556,1.89221,1.48673,1.98444,0.0007723,0.0007723,0.0007723
25,160.526,1.53998,1.1199,1.63596,0.67992,0.66839,0.64286,0.27431,2.06416,1.41907,2.17226,0.0007624,0.0007624,0.0007624
26,166.718,1.61149,1.21378,1.64248,0.61868,0.78763,0.6963,0.30744,1.9249,1.38679,1.9986,0.0007525,0.0007525,0.0007525
27,172.964,1.43928,0.99444,1.53341,0.71654,0.64665,0.69183,0.32351,1.98334,1.62346,2.02364,0.0007426,0.0007426,0.0007426
28,179.167,1.3881,1.15821,1.56786,0.75652,0.69454,0.66521,0.32511,1.87673,1.54893,1.9731,0.0007327,0.0007327,0.0007327
29,185.242,1.50955,1.31059,1.57288,0.8787,0.72972,0.7648,0.31885,2.07722,1.19593,2.23192,0.0007228,0.0007228,0.0007228
30,191.383,1.42973,1.0549,1.59057,0.88358,0.76557,0.81486,0.37675,1.88011,1.09882,1.91056,0.0007129,0.0007129,0.0007129
31,197.503,1.48311,1.00181,1.5842,0.83589,0.7396,0.73276,0.33131,2.02125,1.21177,2.03695,0.000703,0.000703,0.000703
32,203.539,1.45386,1.04682,1.58069,0.66361,0.66555,0.62116,0.29855,2.02365,1.65822,2.07004,0.0006931,0.0006931,0.0006931
33,209.633,1.51314,0.99175,1.66073,0.72889,0.58651,0.63923,0.31139,1.97911,1.46772,2.10409,0.0006832,0.0006832,0.0006832
34,215.697,1.4118,0.94396,1.58937,0.72287,0.67704,0.65956,0.32482,1.85523,1.2351,1.94799,0.0006733,0.0006733,0.0006733
35,221.74,1.34895,0.94762,1.50594,0.83792,0.66312,0.70013,0.36229,1.78973,1.21472,1.86982,0.0006634,0.0006634,0.0006634
36,227.874,1.48042,0.93314,1.49197,0.70621,0.74415,0.73988,0.38971,1.66954,1.17501,1.7475,0.0006535,0.0006535,0.0006535
37,233.899,1.34568,0.902,1.50655,0.78636,0.79473,0.77695,0.37403,1.76433,1.05156,1.84698,0.0006436,0.0006436,0.0006436
38,239.896,1.48847,1.05818,1.63794,0.73672,0.75021,0.73815,0.39662,1.67501,0.99088,1.73977,0.0006337,0.0006337,0.0006337
39,246.087,1.40842,1.03928,1.54992,0.80162,0.75701,0.77698,0.41999,1.64899,0.91798,1.70115,0.0006238,0.0006238,0.0006238
40,252.313,1.37396,0.97468,1.49645,0.73278,0.74749,0.70371,0.38908,1.62659,1.03811,1.70811,0.0006139,0.0006139,0.0006139
41,258.469,1.28937,0.9029,1.45449,0.80107,0.68339,0.722,0.39701,1.71891,1.04937,1.81991,0.000604,0.000604,0.000604
42,264.658,1.4636,0.96355,1.62721,0.6688,0.80212,0.74973,0.37218,1.77981,0.99003,1.90455,0.0005941,0.0005941,0.0005941
43,270.985,1.37451,1.4182,1.53047,0.84908,0.733,0.77379,0.38066,1.78451,0.97487,1.85552,0.0005842,0.0005842,0.0005842
44,277.214,1.42397,0.93077,1.51565,0.7615,0.80045,0.77483,0.39566,1.77908,0.9938,1.77199,0.0005743,0.0005743,0.0005743
45,283.404,1.26206,0.82034,1.4323,0.81358,0.82326,0.80397,0.40879,1.76,0.9191,1.7735,0.0005644,0.0005644,0.0005644
46,289.615,1.22332,1.03351,1.42496,0.86971,0.7893,0.7942,0.40724,1.71438,0.98889,1.73532,0.0005545,0.0005545,0.0005545
47,295.751,1.2972,0.80249,1.41265,0.86136,0.72717,0.77252,0.41797,1.66394,1.09707,1.69514,0.0005446,0.0005446,0.0005446
48,301.966,1.33347,0.81672,1.43535,0.83666,0.74582,0.77563,0.41298,1.7035,0.91266,1.76947,0.0005347,0.0005347,0.0005347
49,308.173,1.28968,0.8831,1.44791,0.82944,0.74749,0.77053,0.3913,1.77362,0.99183,1.80985,0.0005248,0.0005248,0.0005248
50,314.458,1.47124,1.27143,1.60717,0.85517,0.71375,0.74038,0.41726,1.6815,0.97785,1.70862,0.0005149,0.0005149,0.0005149
51,320.542,1.35164,0.98668,1.49386,0.83069,0.78128,0.80584,0.40836,1.75731,0.98982,1.78287,0.000505,0.000505,0.000505
52,326.66,1.37122,0.86872,1.51979,0.86167,0.81019,0.80938,0.45585,1.56359,0.8632,1.6583,0.0004951,0.0004951,0.0004951
53,332.926,1.22686,0.80172,1.42938,0.77595,0.84392,0.81824,0.40246,1.73614,0.89296,1.77216,0.0004852,0.0004852,0.0004852
54,338.856,1.2651,0.90782,1.48982,0.82089,0.81996,0.79334,0.35463,1.92327,0.92861,1.95999,0.0004753,0.0004753,0.0004753
